System;Route;Banner;City;Root
gbna;A3220;;;eng.a3220
gbna;A3259;;;eng.a3259
gbna;A3290;;;eng.a3290
gbna;A3400;;;eng.a3400
gbna;A3604;;;eng.a3604
gbna;A3807;;;eng.a3807
gbna;A4000;;;eng.a4000
gbna;A4003;;;eng.a4003
gbna;A4005;;;eng.a4005
gbna;A4006;;;eng.a4006
gbna;A4007;;;eng.a4007
gbna;A4008;;;eng.a4008
gbna;A4010;;;eng.a4010
gbna;A4012;;;eng.a4012
gbna;A4013;;;eng.a4013
gbna;A4015;;;eng.a4015
gbna;A4017;;;eng.a4017
gbna;A4018;;;eng.a4018
gbna;A4019;;;eng.a4019
gbna;A4020;;;eng.a4020
gbna;A4023;;;eng.a4023
gbna;A4025;;;eng.a4025
gbna;A4026;;;eng.a4026
gbna;A4029;;;eng.a4029
gbna;A4030;;;eng.a4030
gbna;A4031;;;eng.a4031
gbna;A4032;;;eng.a4032
gbna;A4033;;;eng.a4033
gbna;A4034;;;eng.a4034
gbna;A4036;;;eng.a4036
gbna;A4037;;;eng.a4037
gbna;A4038;;;eng.a4038
gbna;A4039;;;eng.a4039
gbna;A4040;;;eng.a4040
gbna;A4041;;;eng.a4041
gbna;A4042;;(Main);wls.a4042
gbna;A4042;;Crindau;wls.a4042cri
gbna;A4043;;;wls.a4043
gbna;A4044;;;eng.a4044
gbna;A4046;;;wls.a4046
gbna;A4047;;;wls.a4047
gbna;A4048;;;wls.a4048
gbna;A4049;;;wls.a4049
gbna;A4050;;;wls.a4050
gbna;A4051;;;wls.a4051
gbna;A4053;;;eng.a4053
gbna;A4054;;;wls.a4054
gbna;A4057;;;wls.a4055
gbna;A4058;;;wls.a4058
gbna;A4059;;;wls.a4059
gbna;A4060;;;wls.a4060
gbna;A4061;;;wls.a4061
gbna;A4063;;;wls.a4063
gbna;A4064;;;wls.a4064
gbna;A4065;;;wls.a4065
gbna;A4066;;;wls.a4066
gbna;A4067;;;wls.a4067
gbna;A4068;;;wls.a4068
gbna;A4069;;(Main);wls.a4069
gbna;A4069;;Llangadog;wls.a4069lla
gbna;A4071;;;eng.a4071
gbna;A4074;;;eng.a4074
gbna;A4075;;;wls.a4075
gbna;A4076;;;wls.a4076
gbna;A4074;;;wls.a4077
gbna;A4074;;;wls.a4078
gbna;A4074;;;wls.a4079
gbna;A4080;;(Main);wls.a4080
gbna;A4080;;Llanfaelog;wls.a4080lla
gbna;A4081;;(Main);wls.a4081
gbna;A4081;;(South) Llandrindod Wells;wls.a4081sll
