country;state;Name;Pop.;latitude;longitude
BRA;ALL;São Bernardo do Campo;798563;-23.71;-46.54
BRA;ALL;Teresina;797570;-5.1;-42.8
CHN;ALL;Nanning;795966;22.82;108.32
TUR;ALL;Antalya;791658;36.89;30.71
BRA;ALL;Campo Grande;791209;-20.45;-54.63
BRA;ALL;Jaboatão;790815;-8.11;-35.02
UKR;ALL;Zaporizhzhya;789548;47.85;35.17
CHN;ALL;Hohhot;787905;40.82;111.64
FRA;ALL;Marseille;785801;43.31;5.37
IND;ALL;Morādābād;785105;28.84;78.76
CHN;ALL;Zhangjiakou;783921;40.83;114.93
USA;IN;Indianapolis city (balance);781870;39.790942;-86.147685
CHN;ALL;Liuzhou;776992;24.28;109.25
USA;CA;San Francisco city;776733;37.759881;-122.437392
MRT;ALL;Nouakchott;775758;18.09;-15.98
BGD;ALL;Rājshāhī;773471;24.37;88.59
CHN;ALL;Yantai;769916;37.53;121.4
CHN;ALL;Xining;763336;36.62;101.77
HTI;ALL;Port-au-Prince;762558;18.54;-72.34
CHN;ALL;Hegang;761228;47.4;130.37
NGA;ALL;Akure;760107;7.25;5.19
TCD;ALL;N'Djaména;759993;12.11;15.05
MEX;MEX-NL;Guadalupe;755882;25.68;-100.26
POL;ALL;Kraków;755711;50.06;19.96
IDN;ALL;Malang;753854;-7.98;112.62
CHN;ALL;Hengyang;753255;26.89;112.62
GRC;ALL;Athina;752173;37.98;23.73
CHN;ALL;Puyang;752147;35.7;114.98
ISR;ALL;Jerusalem;750892;31.78;35.22
NLD;ALL;Amsterdam;750553;52.37;4.89
POL;ALL;Łódź;750214;51.77;19.46
MEX;MEX-YUC;Mérida;748571;20.97;-89.62
NGA;ALL;Abeokuta;741669;7.16;3.35
CHN;ALL;Xinxiang;740984;35.32;113.87
IND;ALL;Raipur;739523;21.24;81.63
TUN;ALL;Tunis;739436;36.84;10.22
MEX;MEX-CHIH;Chihuahua;738241;28.63;-106.08
USA;FL;Jacksonville city;735617;30.319406;-81.659999
UKR;ALL;L'viv;734245;49.83;24
BEN;ALL;Cotonou;734108;6.36;2.44
IDN;ALL;Pekan Baru;733898;0.56;101.43
MWI;ALL;Blantyre;732518;-15.79;34.99
ARG;ALL;La Plata;731458;-34.92;-57.96
ZWE;ALL;Bulawayo;731003;-20.17;28.58
MAR;ALL;Tanger, Tangier;730849;35.79;-5.81
TUR;ALL;Kayseri;730262;38.74;35.48
CHN;ALL;Foshan;729045;23.03;113.12
CHN;ALL;Ningbo;726721;29.88;121.55
CHN;ALL;Langfang;725636;39.52;116.68
MYS;ALL;Ampang Jaya;723531;3.15;101.77
CHN;ALL;Liaoyang;717367;41.28;123.18
LVA;ALL;Rīga;717231;56.97;24.13
CHN;ALL;Changzhi;714849;35.22;111.75
UKR;ALL;Kryvyy Rih;714453;47.92;33.35
GAB;ALL;Libreville;713167;0.39;9.45
KOR;ALL;Chŏnju;712720;35.83;127.14
USA;OH;Columbus city;711470;39.989783;-82.991460
IRQ;ALL;as-Sulaymānīyah;711371;35.56;45.43
BRA;ALL;Osasco;709649;-23.53;-46.78
PHL;ALL;Zamboanga;708726;6.92;122.08
RUS;ALL;Tolyatti;708403;53.48;49.51
MEX;MEX-EMEX;Tlalnepantla;708265;19.54;-99.19
RUS;ALL;Krasnodar;707892;45.03;38.98
IND;ALL;Gorakhpur;707516;26.76;83.36
MEX;MEX-SLP;San Luis Potosí;706707;22.16;-100.98
ESP;ALL;Sevilla;705312;37.4;-5.98
CHN;ALL;Zhuzhou;703430;27.83;113.15
HRV;ALL;Zagreb;703185;45.8;15.97
CHN;ALL;Huangshi;703152;30.22;115.1
CHL;ALL;Puente Alto;702948;-33.61;-70.57
CHN;ALL;Shaoguan;702904;24.8;113.58
MOZ;ALL;Matola;701999;-25.97;32.46
CHN;ALL;Guilin;700388;25.28;110.28
MEX;MEX-AGS;Aguascalientes;697715;21.88;-102.3
LBY;ALL;Benghazi;696345;32.12;20.07
CHN;ALL;Fuxin;694525;42.01;121.65
BRA;ALL;João Pessoa;693094;-7.12;-34.86
MYS;ALL;Ipoh;692101;4.6;101.07
BRA;ALL;Contagem;691519;-19.91;-44.1
TJK;ALL;Dushanbe;689123;38.57;68.78
CHN;ALL;Zhanjiang;688367;21.2;110.38
CHN;ALL;Xingtai;687653;37.07;114.49
IDN;ALL;Yogyakarta;686716;-7.78;110.37
IND;ALL;Bhilai;685863;21.21;81.38
CHN;ALL;Zigong;683817;29.4;104.78
CHN;ALL;Mudanjiang;683653;44.58;129.6
DZA;ALL;Wahrān;680947;35.7;-0.62
